t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
0.66,cloud,medium,run_01,fog_down,drone1,98.92,IDLE
0.68,cloud,medium,run_01,fog_down,drone0,98.82,IDLE
1.01,cloud,medium,run_01,fog_down,drone2,98.9,IDLE
1.64,cloud,medium,run_01,fog_down,drone1,98.9,IDLE
1.68,cloud,medium,run_01,fog_down,drone0,98.8,IDLE
2.03,cloud,medium,run_01,fog_down,drone2,98.88,IDLE
2.67,cloud,medium,run_01,fog_down,drone1,98.88,IDLE
2.69,cloud,medium,run_01,fog_down,drone0,98.78,IDLE
3.01,cloud,medium,run_01,fog_down,drone2,98.84,IDLE+UP
3.63,cloud,medium,run_01,fog_down,drone1,98.84,IDLE+UP
3.68,cloud,medium,run_01,fog_down,drone0,98.76,IDLE
4.01,cloud,medium,run_01,fog_down,drone2,98.79,IDLE+UP
4.65,cloud,medium,run_01,fog_down,drone1,98.79,IDLE+UP
4.7,cloud,medium,run_01,fog_down,drone0,98.74,IDLE
5.03,cloud,medium,run_01,fog_down,drone2,98.75,IDLE+UP
5.66,cloud,medium,run_01,fog_down,drone1,98.75,IDLE+UP
5.68,cloud,medium,run_01,fog_down,drone0,98.72,IDLE
6.03,cloud,medium,run_01,fog_down,drone2,98.7,IDLE+UP
6.63,cloud,medium,run_01,fog_down,drone1,98.7,IDLE+UP
6.7,cloud,medium,run_01,fog_down,drone0,98.7,IDLE
7.01,cloud,medium,run_01,fog_down,drone2,98.68,IDLE
7.64,cloud,medium,run_01,fog_down,drone1,98.68,IDLE
7.69,cloud,medium,run_01,fog_down,drone0,98.68,IDLE
8.0,cloud,medium,run_01,fog_down,drone2,98.66,IDLE
8.64,cloud,medium,run_01,fog_down,drone1,98.66,IDLE
8.7,cloud,medium,run_01,fog_down,drone0,98.66,IDLE
9.01,cloud,medium,run_01,fog_down,drone2,98.64,IDLE
9.65,cloud,medium,run_01,fog_down,drone1,98.64,IDLE
9.72,cloud,medium,run_01,fog_down,drone0,98.64,IDLE
10.01,cloud,medium,run_01,fog_down,drone2,98.62,IDLE
10.66,cloud,medium,run_01,fog_down,drone1,98.62,IDLE
10.68,cloud,medium,run_01,fog_down,drone0,98.62,IDLE
11.03,cloud,medium,run_01,fog_down,drone2,98.6,IDLE
11.64,cloud,medium,run_01,fog_down,drone1,98.6,IDLE
11.71,cloud,medium,run_01,fog_down,drone0,98.6,IDLE
12.0,cloud,medium,run_01,fog_down,drone2,98.58,IDLE
12.63,cloud,medium,run_01,fog_down,drone1,98.58,IDLE
12.7,cloud,medium,run_01,fog_down,drone0,98.58,IDLE
13.01,cloud,medium,run_01,fog_down,drone2,98.56,IDLE
