task_id,mode,scenario,run_id,fault,num_drones,drone,event_id,latency_sec,comm_delay_sec,completion_time_sec,response_time_sec,detected,completed,confidence,num_persons,detail
fog-00000,fog,large,fog_large_01,none,3,drone1,E001,1.3929,,,0.9951,1,0,0.292,1,fog_alert
fog-00001,fog,large,fog_large_01,none,3,drone2,E002,1.2127,,,0.542,1,0,0.375,1,fog_alert
fog-00002,fog,large,fog_large_01,none,3,drone2,,0.8864,,0.228,,1,1,0.491,1,fog_alert
fog-00003,fog,large,fog_large_01,none,3,drone2,,1.1964,,,,1,0,0.542,2,fog_alert
fog-00004,fog,large,fog_large_01,none,3,drone1,E003,1.4605,,,0.4157,1,0,0.303,1,fog_alert
fog-00005,fog,large,fog_large_01,none,3,drone2,,1.4927,,,,1,0,0.54,1,fog_alert
fog-00006,fog,large,fog_large_01,none,3,drone2,,0.6466,,,,1,0,0.328,1,fog_alert
fog-00007,fog,large,fog_large_01,none,3,drone2,,0.5726,,,,1,0,0.291,1,fog_alert
fog-00008,fog,large,fog_large_01,none,3,drone2,,1.7457,,,,1,0,0.276,1,fog_alert
fog-00009,fog,large,fog_large_01,none,3,drone1,,1.4671,,,,1,0,0.542,1,fog_alert
fog-00010,fog,large,fog_large_01,none,3,drone0,,1.3491,,,,1,0,0.26,1,fog_alert
fog-00011,fog,large,fog_large_01,none,3,drone0,,0.7141,,,,1,0,0.313,1,fog_alert
fog-00012,fog,large,fog_large_01,none,3,drone0,,1.2089,,,,1,0,0.263,1,fog_alert
fog-00013,fog,large,fog_large_01,none,3,drone2,,0.3212,,,,1,0,0.485,1,fog_alert
fog-00014,fog,large,fog_large_01,none,3,drone2,,1.2903,,,,1,0,0.549,1,fog_alert
