t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
0.56,fog,large,fog_large_01,none,drone2,99.68,IDLE
0.64,fog,large,fog_large_01,none,drone0,99.44,IDLE
1.56,fog,large,fog_large_01,none,drone2,99.67,IDLE
1.64,fog,large,fog_large_01,none,drone0,99.43,IDLE
2.26,fog,large,fog_large_01,none,drone1,99.53,IDLE
2.56,fog,large,fog_large_01,none,drone2,99.65,IDLE
2.64,fog,large,fog_large_01,none,drone0,99.41,IDLE
3.26,fog,large,fog_large_01,none,drone1,99.52,IDLE
3.56,fog,large,fog_large_01,none,drone2,99.64,IDLE
3.64,fog,large,fog_large_01,none,drone0,99.4,IDLE
4.26,fog,large,fog_large_01,none,drone1,99.5,IDLE
4.56,fog,large,fog_large_01,none,drone2,99.62,IDLE
4.64,fog,large,fog_large_01,none,drone0,99.38,IDLE
5.26,fog,large,fog_large_01,none,drone1,99.49,IDLE
5.56,fog,large,fog_large_01,none,drone2,99.61,IDLE
5.64,fog,large,fog_large_01,none,drone0,99.37,IDLE
6.25,fog,large,fog_large_01,none,drone1,99.47,IDLE
6.56,fog,large,fog_large_01,none,drone2,99.59,IDLE
6.64,fog,large,fog_large_01,none,drone0,99.35,IDLE
7.26,fog,large,fog_large_01,none,drone1,99.46,IDLE
7.56,fog,large,fog_large_01,none,drone2,99.58,IDLE
7.64,fog,large,fog_large_01,none,drone0,99.34,IDLE
8.25,fog,large,fog_large_01,none,drone1,99.44,IDLE
8.56,fog,large,fog_large_01,none,drone2,99.56,IDLE
8.64,fog,large,fog_large_01,none,drone0,99.32,IDLE
9.25,fog,large,fog_large_01,none,drone1,99.43,IDLE
9.56,fog,large,fog_large_01,none,drone2,99.55,IDLE
9.64,fog,large,fog_large_01,none,drone0,99.31,IDLE
10.25,fog,large,fog_large_01,none,drone1,99.41,IDLE
10.56,fog,large,fog_large_01,none,drone2,99.53,IDLE
10.64,fog,large,fog_large_01,none,drone0,99.29,IDLE
11.25,fog,large,fog_large_01,none,drone1,99.4,IDLE
11.56,fog,large,fog_large_01,none,drone2,99.52,IDLE
11.64,fog,large,fog_large_01,none,drone0,99.28,IDLE
12.25,fog,large,fog_large_01,none,drone1,99.38,IDLE
12.56,fog,large,fog_large_01,none,drone2,99.5,IDLE
12.64,fog,large,fog_large_01,none,drone0,99.26,IDLE
13.25,fog,large,fog_large_01,none,drone1,99.37,IDLE
13.56,fog,large,fog_large_01,none,drone2,99.49,IDLE
13.64,fog,large,fog_large_01,none,drone0,99.25,IDLE
14.25,fog,large,fog_large_01,none,drone1,99.35,IDLE
14.56,fog,large,fog_large_01,none,drone2,99.47,IDLE
14.64,fog,large,fog_large_01,none,drone0,99.23,IDLE
15.26,fog,large,fog_large_01,none,drone1,99.34,IDLE
15.56,fog,large,fog_large_01,none,drone2,99.46,IDLE
15.64,fog,large,fog_large_01,none,drone0,99.22,IDLE
16.26,fog,large,fog_large_01,none,drone1,99.32,IDLE
16.56,fog,large,fog_large_01,none,drone2,99.44,IDLE
16.64,fog,large,fog_large_01,none,drone0,99.2,IDLE
17.26,fog,large,fog_large_01,none,drone1,99.31,IDLE
17.56,fog,large,fog_large_01,none,drone2,99.43,IDLE
17.64,fog,large,fog_large_01,none,drone0,99.19,IDLE
18.25,fog,large,fog_large_01,none,drone1,99.29,IDLE
18.56,fog,large,fog_large_01,none,drone2,99.41,IDLE
18.64,fog,large,fog_large_01,none,drone0,99.17,IDLE
19.26,fog,large,fog_large_01,none,drone1,99.28,IDLE
19.56,fog,large,fog_large_01,none,drone2,99.4,IDLE
19.64,fog,large,fog_large_01,none,drone0,99.16,IDLE
20.25,fog,large,fog_large_01,none,drone1,99.26,IDLE
20.56,fog,large,fog_large_01,none,drone2,99.38,IDLE
20.64,fog,large,fog_large_01,none,drone0,99.14,IDLE
21.26,fog,large,fog_large_01,none,drone1,99.25,IDLE
21.56,fog,large,fog_large_01,none,drone2,99.37,IDLE
21.64,fog,large,fog_large_01,none,drone0,99.13,IDLE
22.26,fog,large,fog_large_01,none,drone1,99.23,IDLE
22.56,fog,large,fog_large_01,none,drone2,99.35,IDLE
22.64,fog,large,fog_large_01,none,drone0,99.03,EN_ROUTE
23.26,fog,large,fog_large_01,none,drone1,99.14,EN_ROUTE
23.56,fog,large,fog_large_01,none,drone2,99.26,EN_ROUTE
23.64,fog,large,fog_large_01,none,drone0,98.94,EN_ROUTE
24.25,fog,large,fog_large_01,none,drone1,99.04,EN_ROUTE
24.56,fog,large,fog_large_01,none,drone2,99.16,EN_ROUTE
24.64,fog,large,fog_large_01,none,drone0,98.84,EN_ROUTE
25.26,fog,large,fog_large_01,none,drone1,98.95,EN_ROUTE
25.56,fog,large,fog_large_01,none,drone2,99.07,EN_ROUTE
25.64,fog,large,fog_large_01,none,drone0,98.75,EN_ROUTE
26.26,fog,large,fog_large_01,none,drone1,98.85,EN_ROUTE
26.56,fog,large,fog_large_01,none,drone2,98.97,EN_ROUTE
26.64,fog,large,fog_large_01,none,drone0,98.65,EN_ROUTE
27.25,fog,large,fog_large_01,none,drone1,98.76,EN_ROUTE
27.56,fog,large,fog_large_01,none,drone2,98.88,EN_ROUTE
27.64,fog,large,fog_large_01,none,drone0,98.56,EN_ROUTE
28.25,fog,large,fog_large_01,none,drone1,98.66,EN_ROUTE
28.56,fog,large,fog_large_01,none,drone2,98.78,EN_ROUTE
28.64,fog,large,fog_large_01,none,drone0,98.46,EN_ROUTE
29.25,fog,large,fog_large_01,none,drone1,98.57,EN_ROUTE
29.56,fog,large,fog_large_01,none,drone2,98.69,EN_ROUTE
29.64,fog,large,fog_large_01,none,drone0,98.37,EN_ROUTE
30.26,fog,large,fog_large_01,none,drone1,98.47,EN_ROUTE
30.56,fog,large,fog_large_01,none,drone2,98.59,EN_ROUTE
30.64,fog,large,fog_large_01,none,drone0,98.27,EN_ROUTE
31.26,fog,large,fog_large_01,none,drone1,98.38,EN_ROUTE
31.56,fog,large,fog_large_01,none,drone2,98.5,EN_ROUTE
31.64,fog,large,fog_large_01,none,drone0,98.18,EN_ROUTE
32.25,fog,large,fog_large_01,none,drone1,98.28,EN_ROUTE
32.56,fog,large,fog_large_01,none,drone2,98.4,EN_ROUTE
32.64,fog,large,fog_large_01,none,drone0,98.08,EN_ROUTE
33.25,fog,large,fog_large_01,none,drone1,98.19,EN_ROUTE
33.56,fog,large,fog_large_01,none,drone2,98.31,EN_ROUTE
33.64,fog,large,fog_large_01,none,drone0,97.99,EN_ROUTE
34.25,fog,large,fog_large_01,none,drone1,98.09,EN_ROUTE
34.56,fog,large,fog_large_01,none,drone2,98.21,EN_ROUTE
34.64,fog,large,fog_large_01,none,drone0,97.89,EN_ROUTE
35.25,fog,large,fog_large_01,none,drone1,98.0,EN_ROUTE
35.56,fog,large,fog_large_01,none,drone2,98.12,EN_ROUTE
35.64,fog,large,fog_large_01,none,drone0,97.8,EN_ROUTE
36.26,fog,large,fog_large_01,none,drone1,97.9,EN_ROUTE
36.56,fog,large,fog_large_01,none,drone2,98.02,EN_ROUTE
36.64,fog,large,fog_large_01,none,drone0,97.7,EN_ROUTE
37.25,fog,large,fog_large_01,none,drone1,97.81,EN_ROUTE
37.56,fog,large,fog_large_01,none,drone2,97.93,EN_ROUTE
37.64,fog,large,fog_large_01,none,drone0,97.61,EN_ROUTE
38.25,fog,large,fog_large_01,none,drone1,97.71,EN_ROUTE
38.56,fog,large,fog_large_01,none,drone2,97.83,EN_ROUTE
38.64,fog,large,fog_large_01,none,drone0,97.51,EN_ROUTE
39.26,fog,large,fog_large_01,none,drone1,97.62,EN_ROUTE
39.56,fog,large,fog_large_01,none,drone2,97.74,EN_ROUTE
39.64,fog,large,fog_large_01,none,drone0,97.42,EN_ROUTE
40.25,fog,large,fog_large_01,none,drone1,97.52,EN_ROUTE
40.56,fog,large,fog_large_01,none,drone2,97.64,EN_ROUTE
40.64,fog,large,fog_large_01,none,drone0,97.32,EN_ROUTE
41.25,fog,large,fog_large_01,none,drone1,97.43,EN_ROUTE
41.56,fog,large,fog_large_01,none,drone2,97.55,EN_ROUTE
41.64,fog,large,fog_large_01,none,drone0,97.23,EN_ROUTE
42.26,fog,large,fog_large_01,none,drone1,97.33,EN_ROUTE
42.56,fog,large,fog_large_01,none,drone2,97.45,EN_ROUTE
42.64,fog,large,fog_large_01,none,drone0,97.13,EN_ROUTE
43.25,fog,large,fog_large_01,none,drone1,97.24,EN_ROUTE
43.56,fog,large,fog_large_01,none,drone2,97.36,EN_ROUTE
43.64,fog,large,fog_large_01,none,drone0,97.04,EN_ROUTE
44.26,fog,large,fog_large_01,none,drone1,97.14,EN_ROUTE
44.56,fog,large,fog_large_01,none,drone2,97.27,EN_ROUTE
44.64,fog,large,fog_large_01,none,drone0,96.94,EN_ROUTE
45.25,fog,large,fog_large_01,none,drone1,97.05,EN_ROUTE
45.56,fog,large,fog_large_01,none,drone2,97.17,EN_ROUTE
45.64,fog,large,fog_large_01,none,drone0,96.85,EN_ROUTE
46.26,fog,large,fog_large_01,none,drone1,96.95,EN_ROUTE
46.56,fog,large,fog_large_01,none,drone2,97.08,EN_ROUTE
46.64,fog,large,fog_large_01,none,drone0,96.75,EN_ROUTE
47.25,fog,large,fog_large_01,none,drone1,96.86,EN_ROUTE
47.56,fog,large,fog_large_01,none,drone2,96.98,EN_ROUTE
47.64,fog,large,fog_large_01,none,drone0,96.66,EN_ROUTE
48.26,fog,large,fog_large_01,none,drone1,96.77,EN_ROUTE
48.56,fog,large,fog_large_01,none,drone2,96.89,EN_ROUTE
48.64,fog,large,fog_large_01,none,drone0,96.56,EN_ROUTE
49.25,fog,large,fog_large_01,none,drone1,96.67,EN_ROUTE
49.56,fog,large,fog_large_01,none,drone2,96.79,EN_ROUTE
49.64,fog,large,fog_large_01,none,drone0,96.47,EN_ROUTE
50.25,fog,large,fog_large_01,none,drone1,96.58,EN_ROUTE
50.56,fog,large,fog_large_01,none,drone2,96.7,EN_ROUTE
50.64,fog,large,fog_large_01,none,drone0,96.38,EN_ROUTE
51.26,fog,large,fog_large_01,none,drone1,96.48,EN_ROUTE
51.56,fog,large,fog_large_01,none,drone2,96.6,EN_ROUTE
51.64,fog,large,fog_large_01,none,drone0,96.28,EN_ROUTE
