t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
1.41,fog,medium,drone_fail_01,drone_down,drone1,96.45,EN_ROUTE
2.1,fog,medium,drone_fail_01,drone_down,drone0,96.27,EN_ROUTE
2.41,fog,medium,drone_fail_01,drone_down,drone1,96.35,EN_ROUTE
2.92,fog,medium,drone_fail_01,drone_down,drone2,96.5,EN_ROUTE
3.1,fog,medium,drone_fail_01,drone_down,drone0,96.17,EN_ROUTE
3.41,fog,medium,drone_fail_01,drone_down,drone1,96.26,EN_ROUTE
3.92,fog,medium,drone_fail_01,drone_down,drone2,96.41,EN_ROUTE
4.1,fog,medium,drone_fail_01,drone_down,drone0,96.08,EN_ROUTE
4.41,fog,medium,drone_fail_01,drone_down,drone1,96.16,EN_ROUTE
4.92,fog,medium,drone_fail_01,drone_down,drone2,96.31,EN_ROUTE
5.1,fog,medium,drone_fail_01,drone_down,drone0,95.98,EN_ROUTE
5.41,fog,medium,drone_fail_01,drone_down,drone1,96.07,EN_ROUTE
5.92,fog,medium,drone_fail_01,drone_down,drone2,96.22,EN_ROUTE
6.1,fog,medium,drone_fail_01,drone_down,drone0,95.89,EN_ROUTE
6.41,fog,medium,drone_fail_01,drone_down,drone1,95.97,EN_ROUTE
6.92,fog,medium,drone_fail_01,drone_down,drone2,96.12,EN_ROUTE
7.1,fog,medium,drone_fail_01,drone_down,drone0,95.79,EN_ROUTE
7.41,fog,medium,drone_fail_01,drone_down,drone1,95.88,EN_ROUTE
7.92,fog,medium,drone_fail_01,drone_down,drone2,96.03,EN_ROUTE
8.1,fog,medium,drone_fail_01,drone_down,drone0,95.7,EN_ROUTE
8.41,fog,medium,drone_fail_01,drone_down,drone1,95.78,EN_ROUTE
8.92,fog,medium,drone_fail_01,drone_down,drone2,95.93,EN_ROUTE
9.1,fog,medium,drone_fail_01,drone_down,drone0,95.6,EN_ROUTE
9.41,fog,medium,drone_fail_01,drone_down,drone1,95.69,EN_ROUTE
9.92,fog,medium,drone_fail_01,drone_down,drone2,95.84,EN_ROUTE
10.1,fog,medium,drone_fail_01,drone_down,drone0,95.51,EN_ROUTE
10.41,fog,medium,drone_fail_01,drone_down,drone1,95.59,EN_ROUTE
10.92,fog,medium,drone_fail_01,drone_down,drone2,95.74,EN_ROUTE
11.1,fog,medium,drone_fail_01,drone_down,drone0,95.41,EN_ROUTE
11.42,fog,medium,drone_fail_01,drone_down,drone1,95.5,EN_ROUTE
11.92,fog,medium,drone_fail_01,drone_down,drone2,95.65,EN_ROUTE
12.1,fog,medium,drone_fail_01,drone_down,drone0,95.32,EN_ROUTE
12.41,fog,medium,drone_fail_01,drone_down,drone1,95.4,EN_ROUTE
12.92,fog,medium,drone_fail_01,drone_down,drone2,95.55,EN_ROUTE
13.1,fog,medium,drone_fail_01,drone_down,drone0,95.22,EN_ROUTE
