t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
1.02,fog,medium,run_01,none,drone2,99.54,IDLE
1.14,fog,medium,run_01,none,drone0,99.34,IDLE
1.5,fog,medium,run_01,none,drone1,99.44,IDLE
2.02,fog,medium,run_01,none,drone2,99.52,IDLE
2.14,fog,medium,run_01,none,drone0,99.32,IDLE
2.5,fog,medium,run_01,none,drone1,99.42,IDLE
3.02,fog,medium,run_01,none,drone2,99.5,IDLE
3.14,fog,medium,run_01,none,drone0,99.3,IDLE
3.5,fog,medium,run_01,none,drone1,99.4,IDLE
4.02,fog,medium,run_01,none,drone2,99.48,IDLE
4.14,fog,medium,run_01,none,drone0,99.28,IDLE
4.5,fog,medium,run_01,none,drone1,99.38,IDLE
5.02,fog,medium,run_01,none,drone2,99.46,IDLE
5.13,fog,medium,run_01,none,drone0,99.26,IDLE
5.5,fog,medium,run_01,none,drone1,99.36,IDLE
6.02,fog,medium,run_01,none,drone2,99.44,IDLE
6.13,fog,medium,run_01,none,drone0,99.24,IDLE
6.5,fog,medium,run_01,none,drone1,99.34,IDLE
7.02,fog,medium,run_01,none,drone2,99.42,IDLE
7.14,fog,medium,run_01,none,drone0,99.22,IDLE
7.5,fog,medium,run_01,none,drone1,99.32,IDLE
8.02,fog,medium,run_01,none,drone2,99.4,IDLE
8.13,fog,medium,run_01,none,drone0,99.2,IDLE
8.5,fog,medium,run_01,none,drone1,99.3,IDLE
9.02,fog,medium,run_01,none,drone2,99.38,IDLE
9.13,fog,medium,run_01,none,drone0,99.18,IDLE
9.5,fog,medium,run_01,none,drone1,99.28,IDLE
10.02,fog,medium,run_01,none,drone2,99.36,IDLE
10.13,fog,medium,run_01,none,drone0,99.16,IDLE
10.5,fog,medium,run_01,none,drone1,99.26,IDLE
11.02,fog,medium,run_01,none,drone2,99.34,IDLE
11.14,fog,medium,run_01,none,drone0,99.14,IDLE
11.5,fog,medium,run_01,none,drone1,99.24,IDLE
12.02,fog,medium,run_01,none,drone2,99.32,IDLE
12.14,fog,medium,run_01,none,drone0,99.12,IDLE
12.5,fog,medium,run_01,none,drone1,99.22,IDLE
13.02,fog,medium,run_01,none,drone2,99.3,IDLE
13.13,fog,medium,run_01,none,drone0,99.1,IDLE
13.5,fog,medium,run_01,none,drone1,99.2,IDLE
14.02,fog,medium,run_01,none,drone2,99.28,IDLE
14.14,fog,medium,run_01,none,drone0,99.08,IDLE
14.5,fog,medium,run_01,none,drone1,99.18,IDLE
15.02,fog,medium,run_01,none,drone2,99.26,IDLE
15.13,fog,medium,run_01,none,drone0,99.06,IDLE
15.5,fog,medium,run_01,none,drone1,99.16,IDLE
16.02,fog,medium,run_01,none,drone2,99.24,IDLE
16.13,fog,medium,run_01,none,drone0,99.04,IDLE
16.5,fog,medium,run_01,none,drone1,99.14,IDLE
17.02,fog,medium,run_01,none,drone2,99.22,IDLE
17.13,fog,medium,run_01,none,drone0,99.02,IDLE
17.5,fog,medium,run_01,none,drone1,99.12,IDLE
18.02,fog,medium,run_01,none,drone2,99.2,IDLE
18.13,fog,medium,run_01,none,drone0,99.0,IDLE
18.5,fog,medium,run_01,none,drone1,99.1,IDLE
19.02,fog,medium,run_01,none,drone2,99.18,IDLE
19.13,fog,medium,run_01,none,drone0,98.98,IDLE
19.5,fog,medium,run_01,none,drone1,99.08,IDLE
20.02,fog,medium,run_01,none,drone2,99.16,IDLE
20.14,fog,medium,run_01,none,drone0,98.96,IDLE
20.5,fog,medium,run_01,none,drone1,99.06,IDLE
21.02,fog,medium,run_01,none,drone2,99.14,IDLE
21.13,fog,medium,run_01,none,drone0,98.94,IDLE
21.5,fog,medium,run_01,none,drone1,99.04,IDLE
22.02,fog,medium,run_01,none,drone2,99.12,IDLE
22.14,fog,medium,run_01,none,drone0,98.92,IDLE
22.5,fog,medium,run_01,none,drone1,99.02,IDLE
23.02,fog,medium,run_01,none,drone2,99.1,IDLE
23.13,fog,medium,run_01,none,drone0,98.78,EN_ROUTE
23.5,fog,medium,run_01,none,drone1,98.88,EN_ROUTE
24.02,fog,medium,run_01,none,drone2,98.96,EN_ROUTE
24.14,fog,medium,run_01,none,drone0,98.64,EN_ROUTE
24.5,fog,medium,run_01,none,drone1,98.74,EN_ROUTE
25.02,fog,medium,run_01,none,drone2,98.82,EN_ROUTE
25.14,fog,medium,run_01,none,drone0,98.5,EN_ROUTE
25.5,fog,medium,run_01,none,drone1,98.6,EN_ROUTE
26.02,fog,medium,run_01,none,drone2,98.68,EN_ROUTE
26.13,fog,medium,run_01,none,drone0,98.36,EN_ROUTE
26.5,fog,medium,run_01,none,drone1,98.46,EN_ROUTE
27.02,fog,medium,run_01,none,drone2,98.54,EN_ROUTE
27.13,fog,medium,run_01,none,drone0,98.22,EN_ROUTE
27.51,fog,medium,run_01,none,drone1,98.32,EN_ROUTE
28.02,fog,medium,run_01,none,drone2,98.4,EN_ROUTE
28.14,fog,medium,run_01,none,drone0,98.08,EN_ROUTE
28.5,fog,medium,run_01,none,drone1,98.18,EN_ROUTE
29.02,fog,medium,run_01,none,drone2,98.26,EN_ROUTE
29.13,fog,medium,run_01,none,drone0,97.94,EN_ROUTE
29.5,fog,medium,run_01,none,drone1,98.04,EN_ROUTE
30.02,fog,medium,run_01,none,drone2,98.12,EN_ROUTE
30.14,fog,medium,run_01,none,drone0,97.8,EN_ROUTE
30.5,fog,medium,run_01,none,drone1,97.9,EN_ROUTE
31.02,fog,medium,run_01,none,drone2,97.98,EN_ROUTE
31.14,fog,medium,run_01,none,drone0,97.66,EN_ROUTE
31.5,fog,medium,run_01,none,drone1,97.76,EN_ROUTE
