t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
0.29,fog,small,fog_small_02,none,drone0,99.49,IDLE
0.55,fog,small,fog_small_02,none,drone1,99.59,IDLE
0.74,fog,small,fog_small_02,none,drone2,99.7,IDLE
1.29,fog,small,fog_small_02,none,drone0,99.47,IDLE
1.55,fog,small,fog_small_02,none,drone1,99.58,IDLE
1.74,fog,small,fog_small_02,none,drone2,99.68,IDLE
2.29,fog,small,fog_small_02,none,drone0,99.46,IDLE
2.55,fog,small,fog_small_02,none,drone1,99.56,IDLE
2.74,fog,small,fog_small_02,none,drone2,99.67,IDLE
3.29,fog,small,fog_small_02,none,drone0,99.44,IDLE
3.55,fog,small,fog_small_02,none,drone1,99.55,IDLE
3.74,fog,small,fog_small_02,none,drone2,99.65,IDLE
4.3,fog,small,fog_small_02,none,drone0,99.43,IDLE
4.55,fog,small,fog_small_02,none,drone1,99.53,IDLE
4.73,fog,small,fog_small_02,none,drone2,99.64,IDLE
5.29,fog,small,fog_small_02,none,drone0,99.41,IDLE
5.55,fog,small,fog_small_02,none,drone1,99.52,IDLE
5.74,fog,small,fog_small_02,none,drone2,99.62,IDLE
6.29,fog,small,fog_small_02,none,drone0,99.4,IDLE
6.55,fog,small,fog_small_02,none,drone1,99.5,IDLE
6.74,fog,small,fog_small_02,none,drone2,99.61,IDLE
7.29,fog,small,fog_small_02,none,drone0,99.38,IDLE
7.55,fog,small,fog_small_02,none,drone1,99.49,IDLE
7.73,fog,small,fog_small_02,none,drone2,99.59,IDLE
8.3,fog,small,fog_small_02,none,drone0,99.37,IDLE
8.55,fog,small,fog_small_02,none,drone1,99.47,IDLE
8.73,fog,small,fog_small_02,none,drone2,99.58,IDLE
9.29,fog,small,fog_small_02,none,drone0,99.35,IDLE
9.55,fog,small,fog_small_02,none,drone1,99.38,EN_ROUTE
9.74,fog,small,fog_small_02,none,drone2,99.48,EN_ROUTE
10.29,fog,small,fog_small_02,none,drone0,99.26,EN_ROUTE
10.55,fog,small,fog_small_02,none,drone1,99.28,EN_ROUTE
10.73,fog,small,fog_small_02,none,drone2,99.39,EN_ROUTE
11.29,fog,small,fog_small_02,none,drone0,99.16,EN_ROUTE
11.55,fog,small,fog_small_02,none,drone1,99.19,EN_ROUTE
11.73,fog,small,fog_small_02,none,drone2,99.29,EN_ROUTE
12.29,fog,small,fog_small_02,none,drone0,99.07,EN_ROUTE
12.55,fog,small,fog_small_02,none,drone1,99.09,EN_ROUTE
12.74,fog,small,fog_small_02,none,drone2,99.2,EN_ROUTE
13.29,fog,small,fog_small_02,none,drone0,98.97,EN_ROUTE
13.55,fog,small,fog_small_02,none,drone1,99.0,EN_ROUTE
13.74,fog,small,fog_small_02,none,drone2,99.1,EN_ROUTE
14.29,fog,small,fog_small_02,none,drone0,98.88,EN_ROUTE
14.55,fog,small,fog_small_02,none,drone1,98.9,EN_ROUTE
14.73,fog,small,fog_small_02,none,drone2,99.01,EN_ROUTE
15.29,fog,small,fog_small_02,none,drone0,98.78,EN_ROUTE
15.55,fog,small,fog_small_02,none,drone1,98.81,EN_ROUTE
15.74,fog,small,fog_small_02,none,drone2,98.91,EN_ROUTE
16.29,fog,small,fog_small_02,none,drone0,98.69,EN_ROUTE
16.55,fog,small,fog_small_02,none,drone1,98.71,EN_ROUTE
16.74,fog,small,fog_small_02,none,drone2,98.82,EN_ROUTE
17.29,fog,small,fog_small_02,none,drone0,98.59,EN_ROUTE
17.55,fog,small,fog_small_02,none,drone1,98.62,EN_ROUTE
17.74,fog,small,fog_small_02,none,drone2,98.72,EN_ROUTE
18.29,fog,small,fog_small_02,none,drone0,98.5,EN_ROUTE
18.55,fog,small,fog_small_02,none,drone1,98.52,EN_ROUTE
18.74,fog,small,fog_small_02,none,drone2,98.63,EN_ROUTE
19.29,fog,small,fog_small_02,none,drone0,98.4,EN_ROUTE
19.55,fog,small,fog_small_02,none,drone1,98.43,EN_ROUTE
19.74,fog,small,fog_small_02,none,drone2,98.53,EN_ROUTE
20.29,fog,small,fog_small_02,none,drone0,98.31,EN_ROUTE
20.55,fog,small,fog_small_02,none,drone1,98.33,EN_ROUTE
20.74,fog,small,fog_small_02,none,drone2,98.44,EN_ROUTE
21.33,fog,small,fog_small_02,none,drone0,98.21,EN_ROUTE
21.55,fog,small,fog_small_02,none,drone1,98.24,EN_ROUTE
21.74,fog,small,fog_small_02,none,drone2,98.34,EN_ROUTE
22.29,fog,small,fog_small_02,none,drone0,98.12,EN_ROUTE
22.55,fog,small,fog_small_02,none,drone1,98.14,EN_ROUTE
22.74,fog,small,fog_small_02,none,drone2,98.25,EN_ROUTE
23.29,fog,small,fog_small_02,none,drone0,98.02,EN_ROUTE
23.55,fog,small,fog_small_02,none,drone1,98.05,EN_ROUTE
23.74,fog,small,fog_small_02,none,drone2,98.16,EN_ROUTE
24.3,fog,small,fog_small_02,none,drone0,97.93,EN_ROUTE
24.55,fog,small,fog_small_02,none,drone1,97.95,EN_ROUTE
24.73,fog,small,fog_small_02,none,drone2,98.06,EN_ROUTE
25.29,fog,small,fog_small_02,none,drone0,97.83,EN_ROUTE
25.55,fog,small,fog_small_02,none,drone1,97.86,EN_ROUTE
25.73,fog,small,fog_small_02,none,drone2,97.97,EN_ROUTE
26.29,fog,small,fog_small_02,none,drone0,97.74,EN_ROUTE
26.55,fog,small,fog_small_02,none,drone1,97.77,EN_ROUTE
26.74,fog,small,fog_small_02,none,drone2,97.87,EN_ROUTE
27.29,fog,small,fog_small_02,none,drone0,97.64,EN_ROUTE
27.55,fog,small,fog_small_02,none,drone1,97.67,EN_ROUTE
27.74,fog,small,fog_small_02,none,drone2,97.78,EN_ROUTE
28.29,fog,small,fog_small_02,none,drone0,97.55,EN_ROUTE
28.55,fog,small,fog_small_02,none,drone1,97.58,EN_ROUTE
28.74,fog,small,fog_small_02,none,drone2,97.68,EN_ROUTE
29.29,fog,small,fog_small_02,none,drone0,97.45,EN_ROUTE
29.55,fog,small,fog_small_02,none,drone1,97.48,EN_ROUTE
29.74,fog,small,fog_small_02,none,drone2,97.59,EN_ROUTE
30.29,fog,small,fog_small_02,none,drone0,97.36,EN_ROUTE
30.55,fog,small,fog_small_02,none,drone1,97.39,EN_ROUTE
30.74,fog,small,fog_small_02,none,drone2,97.49,EN_ROUTE
31.29,fog,small,fog_small_02,none,drone0,97.27,EN_ROUTE
31.55,fog,small,fog_small_02,none,drone1,97.29,EN_ROUTE
31.74,fog,small,fog_small_02,none,drone2,97.4,EN_ROUTE
32.29,fog,small,fog_small_02,none,drone0,97.17,EN_ROUTE
32.55,fog,small,fog_small_02,none,drone1,97.2,EN_ROUTE
32.74,fog,small,fog_small_02,none,drone2,97.3,EN_ROUTE
33.29,fog,small,fog_small_02,none,drone0,97.08,EN_ROUTE
33.55,fog,small,fog_small_02,none,drone1,97.1,EN_ROUTE
33.74,fog,small,fog_small_02,none,drone2,97.21,EN_ROUTE
34.29,fog,small,fog_small_02,none,drone0,96.98,EN_ROUTE
34.55,fog,small,fog_small_02,none,drone1,97.01,EN_ROUTE
34.74,fog,small,fog_small_02,none,drone2,97.11,EN_ROUTE
35.29,fog,small,fog_small_02,none,drone0,96.89,EN_ROUTE
35.55,fog,small,fog_small_02,none,drone1,96.91,EN_ROUTE
35.73,fog,small,fog_small_02,none,drone2,97.02,EN_ROUTE
36.29,fog,small,fog_small_02,none,drone0,96.79,EN_ROUTE
36.55,fog,small,fog_small_02,none,drone1,96.82,EN_ROUTE
36.73,fog,small,fog_small_02,none,drone2,96.92,EN_ROUTE
37.3,fog,small,fog_small_02,none,drone0,96.7,EN_ROUTE
37.55,fog,small,fog_small_02,none,drone1,96.72,EN_ROUTE
37.74,fog,small,fog_small_02,none,drone2,96.83,EN_ROUTE
38.29,fog,small,fog_small_02,none,drone0,96.6,EN_ROUTE
38.55,fog,small,fog_small_02,none,drone1,96.63,EN_ROUTE
38.74,fog,small,fog_small_02,none,drone2,96.73,EN_ROUTE
39.29,fog,small,fog_small_02,none,drone0,96.51,EN_ROUTE
39.55,fog,small,fog_small_02,none,drone1,96.53,EN_ROUTE
39.74,fog,small,fog_small_02,none,drone2,96.64,EN_ROUTE
40.29,fog,small,fog_small_02,none,drone0,96.41,EN_ROUTE
40.55,fog,small,fog_small_02,none,drone1,96.44,EN_ROUTE
40.73,fog,small,fog_small_02,none,drone2,96.54,EN_ROUTE
41.29,fog,small,fog_small_02,none,drone0,96.32,EN_ROUTE
41.55,fog,small,fog_small_02,none,drone1,96.34,EN_ROUTE
41.74,fog,small,fog_small_02,none,drone2,96.45,EN_ROUTE
42.29,fog,small,fog_small_02,none,drone0,96.22,EN_ROUTE
42.55,fog,small,fog_small_02,none,drone1,96.25,EN_ROUTE
42.74,fog,small,fog_small_02,none,drone2,96.35,EN_ROUTE
43.29,fog,small,fog_small_02,none,drone0,96.13,EN_ROUTE
43.55,fog,small,fog_small_02,none,drone1,96.15,EN_ROUTE
43.74,fog,small,fog_small_02,none,drone2,96.26,EN_ROUTE
44.29,fog,small,fog_small_02,none,drone0,96.03,EN_ROUTE
44.55,fog,small,fog_small_02,none,drone1,96.06,EN_ROUTE
44.73,fog,small,fog_small_02,none,drone2,96.16,EN_ROUTE
45.29,fog,small,fog_small_02,none,drone0,95.94,EN_ROUTE
45.55,fog,small,fog_small_02,none,drone1,95.96,EN_ROUTE
45.74,fog,small,fog_small_02,none,drone2,96.07,EN_ROUTE
46.29,fog,small,fog_small_02,none,drone0,95.84,EN_ROUTE
46.55,fog,small,fog_small_02,none,drone1,95.87,EN_ROUTE
46.73,fog,small,fog_small_02,none,drone2,95.97,EN_ROUTE
47.29,fog,small,fog_small_02,none,drone0,95.75,EN_ROUTE
47.55,fog,small,fog_small_02,none,drone1,95.77,EN_ROUTE
47.73,fog,small,fog_small_02,none,drone2,95.88,EN_ROUTE
48.29,fog,small,fog_small_02,none,drone0,95.65,EN_ROUTE
48.55,fog,small,fog_small_02,none,drone1,95.68,EN_ROUTE
48.74,fog,small,fog_small_02,none,drone2,95.78,EN_ROUTE
49.29,fog,small,fog_small_02,none,drone0,95.56,EN_ROUTE
49.55,fog,small,fog_small_02,none,drone1,95.58,EN_ROUTE
49.73,fog,small,fog_small_02,none,drone2,95.69,EN_ROUTE
50.29,fog,small,fog_small_02,none,drone0,95.46,EN_ROUTE
50.55,fog,small,fog_small_02,none,drone1,95.49,EN_ROUTE
50.73,fog,small,fog_small_02,none,drone2,95.59,EN_ROUTE
51.29,fog,small,fog_small_02,none,drone0,95.37,EN_ROUTE
51.55,fog,small,fog_small_02,none,drone1,95.39,EN_ROUTE
51.74,fog,small,fog_small_02,none,drone2,95.5,EN_ROUTE
52.29,fog,small,fog_small_02,none,drone0,95.27,EN_ROUTE
52.55,fog,small,fog_small_02,none,drone1,95.3,EN_ROUTE
52.74,fog,small,fog_small_02,none,drone2,95.4,EN_ROUTE
53.29,fog,small,fog_small_02,none,drone0,95.18,EN_ROUTE
53.55,fog,small,fog_small_02,none,drone1,95.2,EN_ROUTE
53.74,fog,small,fog_small_02,none,drone2,95.31,EN_ROUTE
54.29,fog,small,fog_small_02,none,drone0,95.08,EN_ROUTE
54.55,fog,small,fog_small_02,none,drone1,95.11,EN_ROUTE
54.74,fog,small,fog_small_02,none,drone2,95.21,EN_ROUTE
55.29,fog,small,fog_small_02,none,drone0,94.99,EN_ROUTE
55.55,fog,small,fog_small_02,none,drone1,95.01,EN_ROUTE
55.73,fog,small,fog_small_02,none,drone2,95.12,EN_ROUTE
56.29,fog,small,fog_small_02,none,drone0,94.89,EN_ROUTE
56.55,fog,small,fog_small_02,none,drone1,94.92,EN_ROUTE
56.73,fog,small,fog_small_02,none,drone2,95.02,EN_ROUTE
57.29,fog,small,fog_small_02,none,drone0,94.8,EN_ROUTE
57.55,fog,small,fog_small_02,none,drone1,94.82,EN_ROUTE
57.74,fog,small,fog_small_02,none,drone2,94.93,EN_ROUTE
58.29,fog,small,fog_small_02,none,drone0,94.7,EN_ROUTE
58.55,fog,small,fog_small_02,none,drone1,94.75,SCANNING
58.74,fog,small,fog_small_02,none,drone2,94.83,EN_ROUTE
59.29,fog,small,fog_small_02,none,drone0,94.61,EN_ROUTE
59.55,fog,small,fog_small_02,none,drone1,94.67,SCANNING
59.74,fog,small,fog_small_02,none,drone2,94.74,EN_ROUTE
60.29,fog,small,fog_small_02,none,drone0,94.51,EN_ROUTE
60.55,fog,small,fog_small_02,none,drone1,94.6,SCANNING
60.74,fog,small,fog_small_02,none,drone2,94.68,ARRIVED
61.29,fog,small,fog_small_02,none,drone0,94.42,EN_ROUTE
61.55,fog,small,fog_small_02,none,drone1,94.52,SCANNING
61.73,fog,small,fog_small_02,none,drone2,94.62,ARRIVED
62.29,fog,small,fog_small_02,none,drone0,94.34,SCANNING
