t_rel_sec,mode,scenario,run_id,fault,drone,battery_pct,state
0.97,local,medium,run_01,fog_cloud_down,drone2,99.22,IDLE
0.97,local,medium,run_01,fog_cloud_down,drone1,98.56,IDLE+AI
1.02,local,medium,run_01,fog_cloud_down,drone0,97.9,IDLE+AI
1.97,local,medium,run_01,fog_cloud_down,drone2,99.2,IDLE
1.98,local,medium,run_01,fog_cloud_down,drone1,98.48,IDLE+AI
2.02,local,medium,run_01,fog_cloud_down,drone0,97.82,IDLE+AI
2.97,local,medium,run_01,fog_cloud_down,drone2,99.18,IDLE
2.98,local,medium,run_01,fog_cloud_down,drone1,98.46,IDLE
3.02,local,medium,run_01,fog_cloud_down,drone0,97.74,IDLE+AI
3.97,local,medium,run_01,fog_cloud_down,drone2,99.1,IDLE+AI
3.98,local,medium,run_01,fog_cloud_down,drone1,98.44,IDLE
4.02,local,medium,run_01,fog_cloud_down,drone0,97.72,IDLE
4.97,local,medium,run_01,fog_cloud_down,drone2,99.02,IDLE+AI
4.98,local,medium,run_01,fog_cloud_down,drone1,98.36,IDLE+AI
5.02,local,medium,run_01,fog_cloud_down,drone0,97.7,IDLE
5.97,local,medium,run_01,fog_cloud_down,drone2,98.94,IDLE+AI
5.98,local,medium,run_01,fog_cloud_down,drone1,98.28,IDLE+AI
6.02,local,medium,run_01,fog_cloud_down,drone0,97.68,IDLE
6.97,local,medium,run_01,fog_cloud_down,drone2,98.86,IDLE+AI
6.98,local,medium,run_01,fog_cloud_down,drone1,98.2,IDLE+AI
7.02,local,medium,run_01,fog_cloud_down,drone0,97.6,IDLE+AI
7.97,local,medium,run_01,fog_cloud_down,drone2,98.84,IDLE
7.97,local,medium,run_01,fog_cloud_down,drone1,98.12,IDLE+AI
8.02,local,medium,run_01,fog_cloud_down,drone0,97.52,IDLE+AI
8.98,local,medium,run_01,fog_cloud_down,drone2,98.82,IDLE
8.98,local,medium,run_01,fog_cloud_down,drone1,98.1,IDLE
9.02,local,medium,run_01,fog_cloud_down,drone0,97.44,IDLE+AI
9.97,local,medium,run_01,fog_cloud_down,drone2,98.8,IDLE
